"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_single_value[2]","tests.api","Sat Nov 29 03:04:06 UTC 2025","passed","Sat Nov 29 03:04:06 UTC 2025","","test_api_demo","",""
"","0","test_single_value[1]","tests.api","Sat Nov 29 03:04:06 UTC 2025","passed","Sat Nov 29 03:04:06 UTC 2025","","test_api_demo","",""
"","326","test_get_started_link[chromium]","tests.ui","Sat Nov 29 03:04:07 UTC 2025","passed","Sat Nov 29 03:04:08 UTC 2025","","test_ui_example","",""
"","1157","test_anything_get","tests.api","Sat Nov 29 03:04:05 UTC 2025","failed","Sat Nov 29 03:04:06 UTC 2025","","test_api_demo","",""
"","1","test_multiple_values[4-5-9]","tests.api","Sat Nov 29 03:04:06 UTC 2025","passed","Sat Nov 29 03:04:06 UTC 2025","","test_api_demo","",""
"","224","test_has_title[chromium]","tests.ui","Sat Nov 29 03:04:07 UTC 2025","passed","Sat Nov 29 03:04:07 UTC 2025","","test_ui_example","",""
"","1317","test_anything_post","tests.api","Sat Nov 29 03:04:04 UTC 2025","passed","Sat Nov 29 03:04:05 UTC 2025","","test_api_demo","",""
"","0","test_login[user-user123-True]","tests.api","Sat Nov 29 03:04:06 UTC 2025","passed","Sat Nov 29 03:04:06 UTC 2025","","test_api_demo","",""
"","0","test_multiple_values[1-2-3]","tests.api","Sat Nov 29 03:04:06 UTC 2025","passed","Sat Nov 29 03:04:06 UTC 2025","","test_api_demo","",""
"","0","test_single_value[3]","tests.api","Sat Nov 29 03:04:06 UTC 2025","passed","Sat Nov 29 03:04:06 UTC 2025","","test_api_demo","",""
"","0","test_login[guest-wrong-True]","tests.api","Sat Nov 29 03:04:06 UTC 2025","passed","Sat Nov 29 03:04:06 UTC 2025","","test_api_demo","",""
"","0","test_login[admin-admin123-True]","tests.api","Sat Nov 29 03:04:06 UTC 2025","passed","Sat Nov 29 03:04:06 UTC 2025","","test_api_demo","",""
"","0","test_multiple_values[10-15-25]","tests.api","Sat Nov 29 03:04:06 UTC 2025","passed","Sat Nov 29 03:04:06 UTC 2025","","test_api_demo","",""
